"","Population","Row","Column","Block","Family","Replicate","Weevil_dam_binary","Total_Height_early","Scar_length_cm","scar_div_earlyheight","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Year","Pop_ID"
"26",2,20,34,4,5,2,0,16.6,4.567,0.275120481927711,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"27",2,19,1,3,2,1,0,104.3,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"28",2,16,24,3,3,2,0,4.9,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"29",2,20,1,3,3,4,1,65.3,0.56,0.00857580398162328,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"30",2,11,9,1,1,2,1,42.8,9.486,0.221635514018692,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"31",2,21,13,3,4,4,0,0,0,NA,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"32",2,20,44,4,3,5,1,50.5,11.205,0.221881188118812,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"33",2,16,41,4,4,1,1,37.6,5.254,0.139734042553191,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"34",2,3,10,1,5,3,0,16.3,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"35",2,2,12,1,1,1,0,36.5,1.002,0.0274520547945205,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"36",2,14,31,4,1,3,1,65.8,3.013,0.045790273556231,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"37",2,3,14,1,2,5,0,64.6,0.526,0.00814241486068112,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"38",2,5,41,2,1,5,0,20.3,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"39",2,7,45,2,5,4,1,30.6,0.106,0.0034640522875817,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"40",2,2,34,2,4,3,0,45.7,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"41",2,18,46,4,2,4,0,21.5,1.096,0.0509767441860465,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"42",2,19,16,3,5,1,0,0,0,NA,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"43",2,4,42,2,2,2,1,99.9,28.841,0.288698698698699,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"44",2,11,20,1,4,5,1,18.5,5.023,0.271513513513513,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"45",2,18,6,3,3,3,0,26.7,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"46",2,2,28,2,5,5,0,58.6,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"47",2,6,3,1,2,3,0,26.8,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"48",2,16,28,4,4,2,1,34.8,2.669,0.0766954022988506,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"49",2,21,4,3,1,4,0,46.6,0,0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"50",2,4,19,1,3,1,1,26.3,2.713,0.103155893536122,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,"2020",NA
"51",3,20,3,3,3,2,0,8.4,0,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"52",3,21,38,4,3,3,1,21.6,0,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"53",3,17,7,3,4,5,1,59.9,32.148,0.53669449081803,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"54",3,6,20,1,5,1,0,14.2,1.519,0.106971830985915,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"55",3,10,26,2,5,4,1,56.5,5.554,0.0983008849557522,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"56",3,16,37,4,3,1,0,17.4,1.349,0.0775287356321839,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"57",3,20,13,3,4,4,1,151.4,21.196,0.14,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"58",3,21,12,3,1,2,0,0,0,NA,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"59",3,9,9,1,2,2,0,24.7,0.804,0.0325506072874494,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"60",3,15,44,4,2,1,0,5.6,0,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"61",3,7,1,1,2,5,1,39.5,5.808,0.147037974683544,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"62",3,18,41,4,5,5,1,22.1,1.293,0.0585067873303167,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"63",3,5,11,1,2,4,1,19.7,0,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"64",3,18,45,4,1,1,1,19.5,4.079,0.209179487179487,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"65",3,15,42,4,3,4,0,12.1,0.555,0.0458677685950413,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"66",3,1,22,1,3,5,0,40.7,0,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"67",3,20,40,4,5,3,0,16.1,0,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"68",3,11,2,1,4,1,1,60.6,10.217,0.168597359735974,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"69",3,16,43,4,2,3,1,27.8,1.669,0.0600359712230216,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"70",3,21,43,4,4,2,1,51,2.115,0.0414705882352941,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"71",3,18,10,3,5,2,1,39.4,5.396,0.136954314720812,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"72",3,5,23,2,4,3,0,20.6,0,0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,"2020",NA
"73",4,4,30,2,1,4,1,61.6,4.276,0.0694155844155844,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"74",4,6,42,2,3,4,0,0,0,NA,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"75",4,9,2,1,3,1,0,41.7,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"76",4,11,30,4,4,1,1,33.2,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"77",4,11,37,4,2,1,0,4.2,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"78",4,8,24,2,2,2,0,16.6,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"79",4,19,4,3,2,5,0,21.9,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"80",4,2,35,2,1,2,0,49.9,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"81",4,21,31,4,5,3,0,0,0,NA,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"82",4,15,33,4,5,1,1,30.7,22.485,0.732410423452769,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"83",4,3,29,2,4,4,1,53,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"84",4,15,1,3,5,4,1,56.8,13.213,0.23262323943662,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"85",4,16,18,3,5,5,0,0,0,NA,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"86",4,14,6,3,1,5,0,27.4,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"87",4,16,20,3,2,3,1,23.6,5.15,0.218220338983051,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"88",4,5,8,1,5,2,0,49.5,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"89",4,8,32,2,3,3,1,21,2.659,0.126619047619048,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"90",4,1,42,2,1,3,0,20.1,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"91",4,4,33,2,3,2,0,44.2,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"92",4,18,9,3,4,3,0,21.8,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"93",4,3,9,1,3,5,1,19.1,0.494,0.0258638743455497,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"94",4,7,12,1,4,2,1,16.8,1.977,0.117678571428571,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"95",4,11,21,1,2,4,0,12,0,0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"96",4,4,16,1,1,1,1,54.9,3.238,0.0589799635701275,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"97",4,3,24,2,4,5,1,63.2,1.732,0.0274050632911392,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"98",5,14,34,4,4,3,1,38.5,4.538,0.11787012987013,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"99",5,7,18,1,3,2,1,33.8,3.008,0.0889940828402367,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"100",5,10,42,4,4,4,0,32.4,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"101",5,13,39,4,1,3,1,24.5,6.606,0.269632653061224,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"102",5,17,44,4,4,2,0,7.4,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"103",5,18,32,4,3,3,1,28,1.012,0.0361428571428571,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"104",5,20,28,4,2,5,1,18.6,2.075,0.111559139784946,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"105",5,20,19,3,3,1,1,23.1,4.843,0.20965367965368,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"106",5,17,35,4,3,4,0,13.4,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"107",5,7,32,2,1,4,0,0,0,NA,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"108",5,10,34,2,5,2,1,87.3,1.86,0.0213058419243986,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"109",5,17,29,4,5,1,0,13.9,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"110",5,14,45,4,1,5,0,30.4,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"111",5,6,27,2,5,3,0,14.5,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"112",5,7,8,1,5,4,1,21.2,13.71,0.646698113207547,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"113",5,16,12,3,2,1,1,99,6.241,0.063040404040404,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"114",5,1,29,2,2,2,0,85.5,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"115",5,10,24,2,3,5,0,27.8,1.777,0.0639208633093525,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"116",5,7,17,1,2,4,0,18.1,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"117",5,16,17,3,4,5,0,11,2.611,0.237363636363636,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"118",5,9,14,1,5,5,0,0,0,NA,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"119",5,15,37,4,1,1,1,66.9,7.44,0.111210762331839,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"120",5,18,1,3,1,2,0,8.6,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"121",5,8,39,2,4,1,1,65.1,3.331,0.0511674347158218,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"122",5,9,44,2,2,3,0,21.6,0,0,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108,"2020",NA
"123",6,4,31,2,3,1,0,6.1,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"124",6,19,23,3,1,4,0,39,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"125",6,4,12,1,4,5,0,0,0,NA,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"126",6,9,37,2,4,4,1,27.7,6.325,0.228339350180505,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"127",6,7,2,1,2,3,0,0,0,NA,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"128",6,20,17,3,1,5,0,63.9,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"129",6,2,2,1,2,5,0,14.3,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"130",6,8,27,2,3,5,0,50.5,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"131",6,2,18,1,4,2,1,26.3,0.662,0.025171102661597,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"132",6,6,18,1,2,1,0,0,0,NA,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"133",6,5,30,2,5,4,1,76.4,3.546,0.046413612565445,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"134",6,2,38,2,1,3,0,27.7,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"135",6,18,27,4,3,2,0,19.5,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"136",6,21,30,4,4,1,0,30.4,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"137",6,13,35,4,5,3,1,82,0.744,0.00907317073170732,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"138",6,12,27,4,1,2,0,21.4,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"139",6,11,40,4,3,4,0,0,0,NA,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"140",6,19,17,3,3,3,1,12.6,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"141",6,21,22,3,5,1,1,36.4,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"142",6,12,23,1,1,1,0,19.2,1.028,0.0535416666666667,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"143",6,17,1,3,4,3,0,11.6,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"144",6,1,46,2,2,4,0,15.8,0,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"145",6,14,27,4,5,2,1,147,40.395,0.274795918367347,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"146",6,18,35,4,5,5,0,0,0,NA,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,"2020",NA
"147",7,7,15,1,4,4,0,8.6,0,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"148",7,6,46,2,4,3,1,47.7,1.682,0.0352620545073375,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"149",7,15,22,3,4,1,0,26.9,0.709,0.0263568773234201,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"150",7,8,9,1,3,2,0,80.4,0,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"151",7,3,21,1,3,1,1,81.6,3.089,0.0378553921568627,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"152",7,12,9,3,2,4,0,0,0,NA,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"153",7,16,16,3,5,4,1,30.2,17.822,0.590132450331126,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"154",7,7,3,1,1,3,1,38.1,0.249,0.00653543307086614,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"155",7,1,19,1,2,2,1,88.3,9.194,0.104122310305776,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"156",7,1,39,2,4,2,0,4.2,0,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"157",7,9,28,2,3,5,1,27.2,1.168,0.0429411764705882,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"158",7,8,28,2,1,2,1,64.6,0.697,0.0107894736842105,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"159",7,12,1,3,1,1,0,16.4,0,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"160",7,14,8,3,1,5,1,92,20.362,0.221326086956522,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"161",7,18,19,3,4,5,0,23.5,0,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"162",7,13,30,4,5,1,1,50.6,9.623,0.190177865612648,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"163",7,17,37,4,2,5,0,30.3,0,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"164",7,4,36,2,5,5,0,172,0,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"165",7,21,34,4,1,4,1,78,6.462,0.0828461538461539,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"166",7,6,12,1,5,2,0,25,13.641,0.54564,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
